X,state,county_name,county.FIPS,date,female,above_65,population,driving_alone_to_work,smoking,flu_vac,some_college,social_association,traffic,black,hispanic,Rural.urban_Continuum_Code_2013,PCTPOVALL_2018,population.density,cases_1,cases_2,cases_3,cases_4,cases_5,cases_6,cases_7,cases_8,cases_9,cases_10,deaths_1,deaths_2,deaths_3,deaths_4,deaths_5,deaths_6,deaths_7,deaths_8,deaths_9,deaths_10,deaths_11,cumulative_dose,non_metro
3,AL,Barbour County,1005,2020/7/1,0.472167517,0.194204413,24686,0.833684704,0.219999845,0.37,0.348576486,7.518796993,102.2917622,0.480326353,0.042763555,6,30.9,27.89756803,52.66142753,40.50879041,64.81406465,97.22109698,113.4246131,243.0527424,101.271976,162.0351616,157.9842826,182.2895568,0,4.050879041,0,0,0,0,0,0,0,0,0.117796001,0.032908132,1
7,AL,Butler County,1013,2020/7/1,0.534298781,0.202997968,19448,0.838331832,0.21765335,0.35,0.416787565,9.079445145,19.3110679,0.445579268,0.015091463,6,24.5,25.03507846,102.8383381,411.3533525,421.6371863,457.6306047,380.5018511,293.0892637,210.8185932,447.3467709,174.8251748,138.8317565,5.141916907,0,25.70958453,20.56766763,10.28383381,30.85150144,30.85150144,5.141916907,5.141916907,5.141916907,0.216355196,0.104429305,1
10,AL,Cherokee County,1019,2020/7/1,0.504609711,0.229717271,26196,0.831144659,0.174986738,0.41,0.518362101,8.5083343,25.90888704,0.042409342,0.016210818,6,16.3,47.31081813,7.634753397,7.634753397,30.53901359,15.26950679,19.08688349,22.90426019,15.26950679,38.17376699,19.08688349,57.26065048,0,0,0,0,7.634753397,3.817376699,3.817376699,3.817376699,3.817376699,3.817376699,0.068347855,0.014642752,1
324,FL,Madison County,12079,2020/7/1,0.471153327,0.204975984,18493,0.834521638,0.206866967,0.36,0.425608466,11.92476557,47.52059456,0.372928922,0.056128231,6,22.8,26.57231123,113.5564808,91.92667496,0,16.2223544,27.03725734,0,10.81490294,59.48196615,324.4470881,264.9651219,5.407451468,0,5.407451468,0,0,5.407451468,0,0,0,0,-0.048395297,-0.029758383,1
15,AL,Cleburne County,1029,2020/7/1,0.504837526,0.194501902,14910,0.81363212,0.183744658,0.34,0.450141643,8.053691275,41.33377646,0.028691533,0.024821512,8,16,26.62024638,0,0,6.706908115,0,0,13.41381623,26.82763246,20.12072435,0,53.65526492,0,0,0,0,0,0,0,0,0,0,0.130933703,0.001900373,1
20,AL,Covington County,1039,2020/7/1,0.516141243,0.210620235,37049,0.875246448,0.192494515,0.39,0.536105815,12.67119595,42.46334895,0.124425458,0.017493106,6,19.9,35.95384586,26.99128182,29.69041,26.99128182,8.097384545,24.29215363,51.28343545,18.89389727,224.0276391,143.0537936,215.9302545,2.699128182,0,0,0,0,0,0,0,2.699128182,8.097384545,0.076713193,0.022740031,1
21,AL,Crenshaw County,1041,2020/7/1,0.517216435,0.190176505,13772,0.817299047,0.186469296,0.36,0.449078271,10.09299978,57.6469532,0.232204861,0.023148148,8,19.5,22.62006438,43.56665699,94.39442347,130.699971,72.61109498,50.82776648,130.699971,94.39442347,174.2666279,29.04443799,50.82776648,0,0,7.261109498,0,7.261109498,7.261109498,0,0,0,0,0.121453328,0.052162843,1
22,AL,Cullman County,1043,2020/7/1,0.505704561,0.185110616,83768,0.875688747,0.179010712,0.41,0.5037849,11.72134614,51.37029012,0.012056279,0.044330193,4,14.5,113.9948832,9.550186229,7.162639671,8.35641295,4.775093114,10.74395951,85.95167606,64.46375704,91.92054245,38.20074491,106.2458218,0,0,0,0,0,1.193773279,0,0,0,2.387546557,0.019040149,-0.015297406,1
23,AL,Dale County,1045,2020/7/1,0.50929406,0.1689272,49172,0.856780167,0.200573949,0.41,0.576495132,10.56352334,41.48575449,0.204510172,0.066386143,4,16.2,87.62719415,8.134710811,18.30309932,22.37045473,32.53884324,48.80826487,79.31343041,26.43781014,89.48181892,48.80826487,67.11136419,0,0,0,0,0,0,0,0,0,0,0.003943179,-0.042315533,1
25,AL,DeKalb County,1049,2020/7/1,0.50370526,0.172613294,71513,0.856637419,0.210282708,0.4,0.45800443,8.517530754,53.00399897,0.014484836,0.148420537,6,21.3,92.02666358,39.1537203,22.37355446,95.08760645,53.13719184,41.95041461,37.75537315,32.16198453,69.91735768,128.6479381,211.1504202,0,0,0,0,1.398347154,0,0,2.796694307,0,0,0.039361589,0.027523253,1
27,AL,Escambia County,1053,2020/7/1,0.493088059,0.179492762,36633,0.915576298,0.224125846,0.35,0.375306623,14.42038081,35.83380504,0.314030696,0.024681615,6,23.6,38.76179794,27.29779161,16.37867497,13.6488958,5.459558322,10.91911664,79.16359567,43.67646657,51.86580406,139.2187372,245.6801245,2.729779161,2.729779161,2.729779161,0,0,0,0,0,8.189337483,0,0.00611784,-0.056076744,1
29,AL,Fayette County,1057,2020/7/1,0.511775087,0.211282176,16302,0.858799238,0.180015933,0.45,0.523317435,7.894097644,34.0756081,0.118541958,0.018073389,6,23.5,25.97266036,12.26843332,6.134216661,6.134216661,12.26843332,12.26843332,42.93951662,18.40264998,165.6238498,79.74481659,49.07373328,0,0,0,0,0,0,0,0,6.134216661,0,0.072304493,-0.009703948,1
36,AL,Jackson County,1071,2020/7/1,0.509239215,0.200498686,51626,0.862986097,0.199589209,0.42,0.446777813,9.054306575,29.91325272,0.034134838,0.02953456,6,19.7,47.89631403,11.6220509,9.68504242,19.37008484,7.748033936,13.55905939,25.18111029,25.18111029,54.23623755,58.11025452,102.6614497,0,0,0,0,0,0,1.937008484,0,0,0,0.000204661,-8.58E-05,1
504,GA,Wheeler County,13309,2020/7/1,0.353344333,0.146211448,7855,0.918834547,0.235061431,0.39,0.3519804,3.772635815,17.69329266,0.368447773,0.05584465,9,39.6,26.58386354,12.73074475,12.73074475,0,25.4614895,25.4614895,50.92297899,12.73074475,178.2304265,127.3074475,127.3074475,0,0,0,0,0,0,0,0,0,0,0.131741177,-0.016712348,1
65,AL,Washington County,1129,2020/7/1,0.508181707,0.191110026,16326,0.83764922,0.207900921,0.28,0.495662233,15.12310205,15.06212316,0.233300769,0.015813897,8,17.6,15.11372789,67.37718976,67.37718976,98.0031851,42.87639348,24.50079628,49.00159255,49.00159255,49.00159255,49.00159255,24.50079628,0,6.125199069,0,18.37559721,0,6.125199069,0,0,0,0,0.064153841,-0.02890273,1
2484,TX,Deaf Smith County,48117,2020/7/1,0.500586354,0.126705757,18546,0.855532663,0.146672776,0.35,0.479940248,9.556169038,30.23925264,0.010127932,0.734968017,6,17.5,12.38985349,70.09597757,64.70397929,118.623962,339.6958913,188.7199396,37.74398792,64.70397929,194.1119379,161.7599482,242.6399224,0,0,0,32.35198965,37.74398792,0,0,5.391998275,10.78399655,0,0.173038292,-0.026466365,1
67,AL,Winston County,1133,2020/7/1,0.50739645,0.215595943,23629,0.816161148,0.196479681,0.4,0.53070926,9.274091561,18.87575746,0.0079459,0.031952663,6,18.6,38.54775033,8.464175378,21.16043844,29.62461382,67.71340302,118.4984553,101.5701045,21.16043844,135.426806,211.6043844,211.6043844,0,0,0,4.232087689,0,0,0,4.232087689,0,8.464175378,-0.024754239,-0.037757623,1
3026,WY,Sweetwater County,56037,2020/7/1,0.485447493,0.121112169,42343,0.755642202,0.180734216,0.41,0.588880935,10.33674829,154.7547137,0.011451534,0.160832501,5,8.4,4.061035903,0,4.723330893,4.723330893,7.084996339,4.723330893,11.80832723,7.084996339,16.53165813,37.78664714,70.84996339,0,0,0,0,0,0,0,0,0,0,0.309490337,0.301458547,1
2147,OR,Malheur County,41045,2020/7/1,0.45721725,0.16455655,30571,0.757181878,0.174741266,0.39,0.492283951,9.186351706,92.21126968,0.012693247,0.344019528,6,21,3.09187431,6.542147787,19.62644336,3.271073894,22.89751725,22.89751725,13.08429557,6.542147787,13.08429557,42.52396062,163.5536947,0,0,0,0,0,0,3.271073894,0,0,0,0.149229205,0.073941593,1
1334,MN,Renville County,27129,2020/7/1,0.491719135,0.20804818,14548,0.826379358,0.143506153,0.35,0.644167759,30.72721065,66.79214521,0.004927457,0.090131399,8,10.5,14.8009482,0,13.74759417,6.873797086,0,0,0,20.62139126,27.49518834,27.49518834,54.99037668,0,0,0,0,0,0,0,0,6.873797086,6.873797086,0.017571388,-0.038168314,1
74,AZ,La Paz County,4012,2020/7/1,0.487155181,0.392786046,21108,0.72513704,0.155210102,0.27,0.411817102,4.368719965,111.6084113,0.008958195,0.280832306,6,23.7,4.691052375,9.475080538,33.16278188,42.63786242,71.06310404,61.5880235,132.6511275,492.704188,184.7640705,270.0397953,251.0896343,0,4.737540269,0,0,0,0,0,0,9.475080538,4.737540269,0.349172029,0.439162744,1
1739,NM,McKinley County,35031,2020/7/1,0.516170978,0.124069719,71367,0.731744116,0.216216697,0.5,0.480055461,5.512375283,89.922099,0.004675612,0.144127819,5,32.3,13.09531892,507.2372385,637.5495677,493.2251601,515.6444855,367.1164544,330.6850505,413.3563131,266.2294898,236.8041252,339.0922976,9.808454888,12.61087057,40.63502739,39.23381955,22.41932546,25.22174114,29.42536466,21.01811762,18.21570194,7.006039206,0.22962947,0.077278581,1
2472,TX,Comanche County,48093,2020/7/1,0.502142752,0.243017585,13635,0.816106417,0.145227634,0.25,0.50994109,9.577838356,53.36994169,0.004876607,0.282695434,7,16.4,14.54012263,0,0,0,0,51.33846718,14.66813348,0,0,14.66813348,0,0,7.33406674,0,0,0,0,0,0,0,0,0.040573783,-0.036606386,1
85,AR,Baxter County,5005,2020/7/1,0.517143612,0.308993489,41932,0.836553591,0.162428159,0.47,0.617276004,9.672349172,77.13282186,0.003508013,0.025156779,7,15.1,75.65129537,0,0,0,2.384813508,2.384813508,11.92406754,2.384813508,2.384813508,2.384813508,11.92406754,0,0,0,0,0,0,0,0,0,0,0.188333393,-0.007530706,1
2793,VA,Smyth County,51173,2020/7/1,0.509582568,0.220070885,30104,0.824898621,0.194494842,0.42,0.550444692,10.11221294,96.6382875,0.023661066,0.02152796,7,20.4,66.75980751,0,0,0,6.643635397,0,0,0,16.60908849,43.18363008,9.965453096,0,0,0,0,0,0,0,0,0,3.321817699,0.202081821,0.027042334,1
2060,OK,Cimarron County,40025,2020/7/1,0.488156061,0.254528565,2137,0.883838384,0.170444928,0.21,0.541910331,27.8551532,30.160481,0.006038086,0.223873665,9,16.4,1.164742688,46.79457183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186418496,0.064879961,1
322,FL,Levy County,12075,2020/7/1,0.511822418,0.247804758,41503,0.79780619,0.236173876,0.34,0.422347576,7.434023046,46.2905613,0.089551141,0.085871965,6,16.1,37.11556863,2.409464376,16.86625063,0,12.04732188,9.637857504,12.04732188,93.96911067,67.46500253,110.8353613,62.64607378,0,0,0,0,0,2.409464376,0,0,0,0,0.014745417,-0.037379621,1
92,AR,Clark County,5019,2020/7/1,0.526222746,0.16712751,22320,0.768897865,0.193394737,0.49,0.620126927,15.25142421,127.7657398,0.241104211,0.048819183,7,19.9,25.7715889,0,22.40143369,4.480286738,8.960573477,4.480286738,13.44086022,8.960573477,31.36200717,22.40143369,13.44086022,0,0,0,0,0,0,0,0,0,0,0.140766922,0.069961919,1
150,AR,Sharp County,5135,2020/7/1,0.506506968,0.260854543,17442,0.798513911,0.210888798,0.36,0.487760098,15.52348646,37.3227364,0.008292065,0.0234366,7,20.7,28.85646218,5.733287467,34.3997248,40.13301227,120.3990368,28.66643734,22.93314987,11.46657493,11.46657493,5.733287467,11.46657493,0,0,11.46657493,0,0,0,5.733287467,0,5.733287467,0,0.135964487,0.006755258,1
94,AR,Cleburne County,5023,2020/7/1,0.508231524,0.267854997,24919,0.816094269,0.174093981,0.44,0.458168121,15.17087193,8.28038174,0.003645103,0.024193871,6,14.6,45.00532789,4.013002127,0,0,0,4.013002127,4.013002127,4.013002127,0,8.026004254,32.10401702,0,0,0,0,0,0,0,0,0,0,0.062446985,-0.05062241,1
