X,state,county_name,county.FIPS,date,female,below_18,above_65,median_house_income,population,driving_alone_to_work,smoking,flu_vac,some_college,social_association,traffic,black,hispanic,Rural.urban_Continuum_Code_2013,PCTPOVALL_2018,population.density,distance_one_week_before,distance_two_weeks_before,distance_three_weeks_before,cases_one_week_before,cases_two_weeks_before,cases_three_weeks_before,death_one_week_before,death_two_weeks_before,death_three_weeks_before,cumulative_dose,non_metro
367,GA,Bryan County,13029,2020/7/1,0.506809415,0.29284421,0.106274109,79658,39627,0.850708008,0.165120963,0.42,0.68681788,8.364813815,105.7625495,0.141987457,0.072948647,2,8.6,90.89386884,-0.270730426,-0.327385295,-0.382958258,121.1295329,85.8000858,75.70595806,5.047063871,5.047063871,5.047063871,-0.076014384,0
609,IL,McLean County,17113,2020/7/1,0.514152799,0.21487259,0.132270234,67087,171517,0.806109788,0.149737737,0.57,0.78267039,11.78245981,202.1515231,0.079153841,0.05062837,3,14.4,144.9382278,-0.287526237,-0.300083129,-0.349756971,53.63899788,50.14080237,46.05957427,1.749097757,1.749097757,1.166065171,-0.058147217,0
2256,SC,Hampton County,45049,2020/7/1,0.488398532,0.212702186,0.184124851,35871,19222,0.822843514,0.201951392,0.26,0.344807238,10.71319253,20.31031455,0.527414604,0.041341533,6,25.8,34.33113056,-0.285308209,-0.275014204,-0.322653493,114.4521902,109.2498179,46.82135054,0,0,0,-0.078497591,1
1091,LA,Grant Parish,22043,2020/7/1,0.440619162,0.211013255,0.152121697,43502,22389,0.783093424,0.225394423,0.41,0.362795332,8.506446991,16.3119747,0.152255137,0.052175073,3,20,34.81797117,-0.223100421,-0.21807537,-0.330802546,53.59774889,53.59774889,53.59774889,0,0,0,-0.065976076,0
125,AR,Lonoke County,5085,2020/7/1,0.507147997,0.258074589,0.133157745,56651,73309,0.88131065,0.185859727,0.49,0.606894854,8.505034432,56.37893186,0.062329446,0.047612583,2,11.9,95.1163183,-0.229813924,-0.230801162,-0.295370306,53.19947073,35.46631382,39.5585808,0,0,0,-0.053511872,0
422,GA,Hancock County,13141,2020/7/1,0.449808337,0.155007187,0.233349305,31716,8457,0.876676987,0.215611407,0.32,0.20851819,0,23.67952386,0.708433158,0.023957834,7,30.7,17.92344863,-0.282085486,-0.305544098,-0.355780039,295.6131016,118.2452406,35.47357219,0,0,0,-0.093949188,1
2797,VA,Surry County,51181,2020/7/1,0.506024096,0.167438987,0.226753167,54663,6422,0.790937178,0.172908047,0.48,0.552631579,15.29051988,6.995904355,0.418597467,0.025486562,8,12.9,23.02204696,-0.29048571,-0.296963408,-0.323250372,62.28589225,62.28589225,46.71441918,15.57147306,0,0,-0.113260014,1
2235,SC,Anderson County,45007,2020/7/1,0.518525354,0.228708812,0.180490019,51740,202558,0.854286078,0.175469985,0.52,0.605520242,13.03085646,27.77799432,0.159759979,0.039235443,2,14.6,283.1276295,-0.265662745,-0.245124875,-0.31955864,73.55917811,66.15389172,53.81174775,2.962114555,2.468428796,2.468428796,-0.062605637,0
2768,VA,Mecklenburg County,51117,2020/7/1,0.514355628,0.185350734,0.256378467,44832,30587,0.81206783,0.17546601,0.53,0.596879064,12.70937887,56.0637309,0.341598695,0.03050571,7,18.7,48.90086172,-0.27693281,-0.207074344,-0.3159006,320.3975545,212.5085821,186.3536797,29.42426521,0,0,-0.087251665,1
643,IL,Union County,17181,2020/7/1,0.49890149,0.210201295,0.213585892,49716,16653,0.834210901,0.169234309,0.52,0.586663398,14.11764706,76.29191702,0.012350811,0.053441007,6,17.4,40.27717312,-0.172091497,-0.246627709,-0.309248017,48.0393923,30.02462019,0,0,0,0,-0.012226011,1
