X,state,county_name,county.FIPS,date,female,below_18,above_65,median_house_income,population,driving_alone_to_work,smoking,flu_vac,some_college,social_association,traffic,black,hispanic,Rural.urban_Continuum_Code_2013,PCTPOVALL_2018,population.density,distance_one_week_before,distance_two_weeks_before,distance_three_weeks_before,cases_one_week_before,cases_two_weeks_before,cases_three_weeks_before,death_one_week_before,death_two_weeks_before,death_three_weeks_before,cumulative_dose,non_metro
1,AL,Autauga County,1001,2020/7/1,0.51448715,0.236740346,0.155626697,59338,55869,0.865236614,0.180815572,0.41,0.620099737,12.07120208,88.45704042,0.193431773,0.02965774,2,13.8,93.98593634,-0.291369063,-0.30308437,-0.366713493,69.80615368,50.11723854,34.00812615,5.369704129,1.789901376,1.789901376,-0.051486536,0
2,AL,Baldwin County,1003,2020/7/1,0.515383769,0.216079111,0.204433498,57588,223234,0.842824327,0.174890326,0.44,0.673716198,10.20561732,86.99742988,0.087839759,0.046467788,3,9.8,140.4181711,-0.311774098,-0.322551908,-0.414621155,75.25735327,52.41137103,34.94091402,1.343881308,1.343881308,0.447960436,0.188917056,0
3,AL,Barbour County,1005,2020/7/1,0.472167517,0.208673285,0.194204413,34382,24686,0.833684704,0.219999845,0.37,0.348576486,7.518796993,102.2917622,0.480326353,0.042763555,6,30.9,27.89756803,-0.257874684,-0.288608487,-0.329630289,141.7807664,89.1193389,40.50879041,0,0,0,0.031308977,1
4,AL,Bibb County,1007,2020/7/1,0.4678125,0.204776786,0.164732143,46064,22394,0.849106469,0.191141999,0.38,0.441373534,8.381859891,29.33558001,0.211205357,0.02625,1,21.8,35.96967458,-0.215343323,-0.196600329,-0.296488972,187.5502367,142.8954184,75.91319103,0,0,0,-0.042205151,0
5,AL,Blount County,1009,2020/7/1,0.507261411,0.23153527,0.182365145,50412,57826,0.86178362,0.19208672,0.39,0.533610733,8.446382707,33.41178196,0.014626556,0.09571231,1,13.2,89.68330283,-0.244003615,-0.223610421,-0.356967194,58.7970809,38.04516999,25.93988863,0,0,0,-0.041036234,0
6,AL,Bullock County,1011,2020/7/1,0.454823437,0.210791083,0.163839022,29267,10101,0.790609137,0.22894664,0.28,0.349760942,7.760209526,4.0665382,0.695403433,0.079601499,6,42.5,16.21842938,-0.274011032,-0.285523367,-0.308709053,118.8001188,108.9001089,59.4000594,0,0,0,-0.041447928,1
7,AL,Butler County,1013,2020/7/1,0.534298781,0.22245935,0.202997968,37365,19448,0.838331832,0.21765335,0.35,0.416787565,9.079445145,19.3110679,0.445579268,0.015091463,6,24.5,25.03507846,-0.27684415,-0.299187179,-0.320348292,174.8251748,71.98683669,41.13533525,5.141916907,0,0,0.131148229,1
8,AL,Calhoun County,1015,2020/7/1,0.519465859,0.216097728,0.17717476,45400,113605,0.848092137,0.206125604,0.38,0.592439886,14.46900495,109.8991631,0.208502148,0.039106732,3,19.5,187.507221,-0.251086012,-0.242166514,-0.354274917,79.22186523,70.41943576,53.69481977,2.640728841,2.640728841,0,-0.025940399,0
9,AL,Chambers County,1017,2020/7/1,0.521255392,0.20800238,0.195210472,39917,33254,0.85252848,0.193929271,0.42,0.48460334,17.79728888,20.27158691,0.395656701,0.025613565,6,18.7,55.74572947,-0.263708537,-0.26712698,-0.347918116,869.0683828,772.8393577,637.5172912,54.12882661,39.09304144,24.05725627,-0.050047363,1
10,AL,Cherokee County,1019,2020/7/1,0.504609711,0.191687154,0.229717271,42132,26196,0.831144659,0.174986738,0.41,0.518362101,8.5083343,25.90888704,0.042409342,0.016210818,6,16.3,47.31081813,-0.228880688,-0.240577324,-0.35370798,53.44327378,45.80852038,34.35639029,0,0,0,0.013550183,1
