X,state,county_name,county.FIPS,date,female,above_65,population,driving_alone_to_work,smoking,flu_vac,some_college,social_association,traffic,black,hispanic,Rural.urban_Continuum_Code_2013,PCTPOVALL_2018,population.density,cases_1,cases_2,cases_3,cases_4,cases_5,cases_6,cases_7,cases_8,cases_9,cases_10,deaths_1,deaths_2,deaths_3,deaths_4,deaths_5,deaths_6,deaths_7,deaths_8,deaths_9,deaths_10,daily_distance_diff,cumulative_dose,non_metro
1083,LA,Claiborne Parish,22027,2020/7/1,0.433768189,0.191043653,15670,0.865834633,0.2625988,0.32,0.37244898,8.140772747,35.27427066,0.516056197,0.015240843,6,32.7,20.75826621,12.76324186,38.28972559,6.381620932,0,19.1448628,31.90810466,12.76324186,63.81620932,178.6853861,63.81620932,6.381620932,6.381620932,12.76324186,6.381620932,0,0,0,0,0,6.381620932,-0.000494963,-0.080556127,1
1076,LA,Bienville Parish,22013,2020/7/1,0.520513977,0.209272618,13241,0.856956238,0.216123875,0.4,0.431391905,16.13139757,41.53431484,0.414712955,0.019461978,6,26.9,16.32132336,52.86609773,37.76149838,0,52.86609773,407.8241825,67.97069708,52.86609773,158.5982932,188.8074919,151.0459935,30.2091987,0,52.86609773,0,7.552299675,15.10459935,0,7.552299675,15.10459935,0,0.097251089,-0.023916384,1
797,IA,Jefferson County,19101,2020/7/1,0.44905065,0.224090093,18295,0.711345382,0.152913156,0.17,0.759675108,10.85658452,289.3335411,0.024536206,0.03139111,7,16.3,42.00822025,0,0,5.46597431,27.32987155,32.79584586,65.59169172,43.72779448,54.6597431,5.46597431,16.39792293,0,0,0,0,0,0,0,0,0,0,0.049987328,-0.122251671,1
13,AL,Clarke County,1025,2020/7/1,0.526421405,0.198704013,23622,0.882852969,0.205796553,0.28,0.382299601,16.19399577,66.28763227,0.443269231,0.013628763,7,22.8,19.07353428,12.7000254,67.7334688,84.666836,50.8001016,143.9336212,160.8669884,50.8001016,139.7002794,110.0668868,186.2670392,0,0,0,4.2333418,0,0,4.2333418,0,8.4666836,0,-0.010562161,-0.076935228,1
851,KS,Bourbon County,20011,2020/7/1,0.505766737,0.197160991,14534,0.762714558,0.187797345,0.47,0.615139949,14.23342822,52.48278997,0.029686754,0.028526582,6,16,22.87126064,0,0,0,0,6.880418329,6.880418329,0,0,13.76083666,61.92376496,0,0,0,0,0,0,0,0,0,0,-0.067021821,-0.142603315,1
681,IN,Grant County,18053,2020/7/1,0.521384373,0.192216695,65769,0.792727912,0.215446965,0.48,0.535255736,16.54359237,132.7935486,0.070052779,0.043997209,4,19.9,158.8354626,71.46223905,48.65514148,21.2866244,38.01182928,50.17561465,62.33940002,48.65514148,39.53230245,38.01182928,30.40946343,7.602365856,7.602365856,6.081892685,3.040946343,3.040946343,4.561419514,1.520473171,1.520473171,3.040946343,0,0.143488057,-0.042962907,1
1420,MS,Smith County,28129,2020/7/1,0.519497563,0.196100487,15916,0.865993789,0.182393117,0.46,0.497185741,9.951486503,6.545044909,0.236345457,0.016935383,8,16.8,25.01532417,113.0937421,100.5277708,144.5086705,69.11284242,100.5277708,131.9426992,100.5277708,75.3958281,43.98089972,106.8107565,12.56597135,0,12.56597135,6.282985675,18.84895702,6.282985675,0,0,0,0,-0.02062788,-0.061811223,1
675,IN,Fayette County,18041,2020/7/1,0.506183017,0.203931097,23102,0.859108647,0.228956525,0.45,0.513038549,15.08035676,204.8672015,0.013797891,0.013450775,6,14.5,107.4461653,38.957666,60.60081378,82.24396156,30.30040689,121.2016276,69.25807289,38.957666,25.97177734,12.98588867,51.94355467,0,0,0,0,0,12.98588867,0,0,0,0,-0.057992636,-0.164119505,1
1806,NY,Sullivan County,36105,2020/7/1,0.485218152,0.188587777,75432,0.820123752,0.161440753,0.48,0.528817862,10.20070213,112.646129,0.081618056,0.166216324,4,16.2,77.91515602,270.4422526,302.2589882,176.3177431,181.6205324,103.4043907,86.17032559,37.11952487,19.88545975,7.954183901,17.23406512,3.97709195,2.651394634,11.93127585,2.651394634,2.651394634,3.97709195,2.651394634,0,0,0,-0.097469248,-0.204038306,1
663,IN,Cass County,18017,2020/7/1,0.500513766,0.177921223,37689,0.830570134,0.206381732,0.52,0.496067354,12.89677318,61.43947547,0.015544724,0.159293901,4,13.5,91.44264363,2488.789833,920.6930404,405.9539919,74.29223381,79.59882194,13.26647032,18.57305845,34.49282284,50.41258723,29.18623471,0,2.653294065,2.653294065,5.306588129,2.653294065,2.653294065,5.306588129,0,0,0,0.192944055,-0.073392267,1
499,GA,Ware County,13299,2020/7/1,0.49963565,0.172841928,35734,0.864563294,0.190443587,0.41,0.452463642,15.33272003,137.8489058,0.29646861,0.045123318,5,23.6,40.03988974,67.16292606,58.76756031,89.55056809,25.18609727,123.1320311,27.98455253,58.76756031,103.5428443,125.9304864,184.6980467,5.596910505,11.19382101,0,2.798455253,2.798455253,0,0,0,2.798455253,0,-0.083502346,-0.062038098,1
1823,NC,Bertie County,37015,2020/7/1,0.49547987,0.23015873,18947,0.82030719,0.199536013,0.41,0.475680309,25.48897212,23.58951722,0.607274256,0.022390413,7,23.5,27.09539949,73.89032565,52.77880403,68.61244524,147.7806513,137.2248905,36.94516282,63.33456484,0,10.55576081,47.50092363,0,5.277880403,0,5.277880403,0,5.277880403,0,0,0,0,-0.116829659,-0.108390695,1
716,IN,Perry County,18123,2020/7/1,0.464349283,0.187938436,19169,0.837458847,0.207449246,0.35,0.523935628,9.433467848,166.4284995,0.028216941,0.014448749,6,12.4,50.21612134,31.30053733,20.86702488,57.38431843,5.216756221,46.95080599,31.30053733,57.38431843,250.4042986,78.25134331,62.60107465,0,0,0,5.216756221,0,0,5.216756221,0,10.43351244,20.86702488,0.02748438,-0.113032932,1
50,AL,Monroe County,1099,2020/7/1,0.525086628,0.202924004,20733,0.915734761,0.23257539,0.37,0.408089022,12.66000844,32.16607277,0.409645417,0.016138985,7,21.9,20.21390687,9.646457339,9.646457339,9.646457339,24.11614335,62.7019727,48.23228669,91.64134472,356.9189215,130.2271741,130.2271741,0,0,0,4.823228669,0,0,0,0,0,0,0.011073268,-0.091648082,1
1661,NE,Saline County,31151,2020/7/1,0.488222997,0.150174216,14224,0.796845334,0.154705898,0.27,0.500428694,12.46451077,34.52749586,0.008989547,0.258815331,6,12.4,24.7796244,555.3993251,1244.375703,724.128234,456.9741282,351.5185602,154.6681665,98.42519685,14.06074241,70.30371204,28.12148481,0,0,0,7.030371204,0,7.030371204,0,0,0,0,-0.04676357,-0.132410257,1
66,AL,Wilcox County,1131,2020/7/1,0.524230733,0.194410464,10373,0.876047486,0.220666302,0.23,0.39448052,6.530459931,15.95919482,0.707349205,0.01411499,9,33.4,11.6747327,86.76371349,134.9657765,125.3253639,96.4041261,221.72949,318.1336161,231.3699026,482.0206305,221.72949,308.4932035,0,28.92123783,0,9.64041261,19.28082522,0,0,9.64041261,0,0,-0.111461913,-0.120059884,1
985,KY,Fleming County,21069,2020/7/1,0.508730599,0.178977273,14581,0.782702523,0.221186334,0.38,0.539446264,6.922331441,7.284991463,0.013858093,0.013650222,7,18.6,41.83450967,0,0,0,13.71648035,0,6.858240176,0,27.4329607,41.14944105,41.14944105,0,0,0,0,0,0,0,0,0,0,-0.009721561,-0.075985613,1
71,AZ,Gila County,4007,2020/7/1,0.505576277,0.287739613,54018,0.798215199,0.176281047,0.38,0.504536083,9.719444496,120.0981509,0.006346379,0.187385181,4,20.4,11.35325656,5.553704321,5.553704321,9.256173868,5.553704321,3.702469547,12.95864342,27.7685216,75.90062572,164.7598948,175.8673035,0,0,1.851234774,0,0,1.851234774,1.851234774,0,1.851234774,1.851234774,-0.140552925,-0.059238436,1
72,AZ,Graham County,4009,2020/7/1,0.46724627,0.139472578,38837,0.796441569,0.17534493,0.38,0.554664375,4.804355949,13.15036671,0.014603908,0.331398403,7,20.2,8.401548912,18.02404923,23.17377758,2.574864176,2.574864176,10.2994567,20.59891341,23.17377758,23.17377758,38.62296264,69.52133275,0,0,0,0,0,5.149728352,0,0,0,0,-0.118923791,-0.161659989,1
73,AZ,Greenlee County,4011,2020/7/1,0.486343984,0.131603923,9498,0.883794466,0.142699499,0.29,0.561266294,5.288207298,3.939573537,0.01697775,0.472951598,7,10.5,5.153190497,0,0,0,0,10.52853232,31.58559697,42.11412929,21.05706465,10.52853232,52.64266161,0,0,0,0,0,10.52853232,0,0,0,0,-0.183433541,-0.169847878,1
156,AR,Woodruff County,5147,2020/7/1,0.519106317,0.231432974,6320,0.796856106,0.214454038,0.22,0.478392722,15.21838381,23.86865673,0.259322034,0.021417566,9,23.7,10.77046303,0,0,0,0,0,0,0,63.29113924,15.82278481,0,0,0,0,0,0,0,0,0,0,0,-0.171780061,0.019955816,1
